QuestionerId,QuotesId,OfferId,pqid,CChannel,RequestedLoanTypeId,ZipCode,State_Code,State,PropertyZipCode,PropertyState,PropertyCity,Veteran,EstimatedCreditScore,BankruptcyForeClosureCheck,PropertyTypeId,PropertyUse,EstimatedPropertyValue,CurrentMortgageBalance,LoanAmountRequested,DateCreated,SecondMortBalanceCheck,SecondMortBalance,UpdatedOn,IsDeviceTypeMobile,EstimatedCreditScoreBandId,DeviceType,UserIntentQuestion,LenderId,APRPercentage,AmortizationType,FixedRatePeriodMonths,IsFHALoan,IsJumboLoan,IsVALoan,LoanAmount,LoanProductName,LoanProgramId,LoanTermMonths,RatePercentage,TotalFees,TotalMonthlyPayment,IsInsuranceLenderPaid,AnnualMortgageInsurancePremiumPercentage,FHAUpfrontInsurancePremiumPercentage,VALoanFundingFeePercentage,FHAAnnualInsurancePremiumPercentage,IsBestOffer,MonthlySaving,LenderRank,CreatedOn,Status,TopicCreatedOn
12db39e7-4088-4af8-8e66-bfd8d4525c8f,6b38f657-e51f-40a7-a772-2f41b5b230a6,ad869257-518c-4a42-8993-1697c2de6a45,NULL,seo,2,99701,2,AK,99701,AK,Fairbanks,1,5,no,1,OWNEROCCUPIED,160000,135000,135000,2/18/2018 4:31,0,0,Feb 18 2018  4:54AM,FALSE,5,NULL,NULL,9,4.339,Fixed,360,0,0,0,135000,30 Yr Fixed,1,360,4.25,1416,665,0,0,0,0,0,1,0,NULL,2018-02-18T04:31:00Z[GMT],1,2018-02-19 04:30:47 GMT
cce95c69-ff4c-4a9b-9998-6f6eb54fde6a,347a2f63-9f9d-4cd8-ae30-fb1106564d3c,c09b51a4-c1ed-46c4-999a-03ef72311207,NULL,perf,2,99701,2,AK,99701,AK,Fairbanks,0,3,no,5,OWNEROCCUPIED,200000,150001,150001,6/16/2018 5:26,0,0,Jun 16 2018  5:31AM,TRUE,8,mobile,TakeCashOutOfHome,136,5.92,Fixed,360,1,0,0,150001,FHA 30 Yr Fixed,1,360,5.125,3937,932,0,0,1.749988333,0,0,1,0,2,2018-06-16T05:26:16Z[GMT],1,2018-06-16 05:35:35 GMT
4102c40b-7c8f-4611-9f55-835b623c7e97,26b4b05f-98d9-4992-9e5c-a08c99fe6760,db65ff2a-cce1-4ae2-92b6-4a0279f84f47,NULL,perf,2,99508,2,AK,99508,AK,Anchorage,1,5,no,1,OWNEROCCUPIED,350000,60001,65001,7/6/2018 0:00,0,0,Jul  6 2018 12:08AM,TRUE,7,mobile,TakeCashOutOfHome,9,4.906,Fixed,180,0,0,1,65001,VA 15 Yr Fixed,3,180,4.25,2842,500,0,0,0,2.15,0,1,59501,1,2018-07-06T00:00:48Z[GMT],1,2018-07-06 00:09:06 GMT
63ff7a90-12b9-4dbe-8fd8-a76816fa6810,56b96677-89f1-4b65-9c93-25c2e4b15b95,abb46687-7740-4ea1-9308-2cdca58630b0,NULL,sem,2,99645,2,AK,99645,AK,Palmer,0,5,no,5,INVESTMENTPROPERTY,325000,70001,80001,7/25/2018 18:54,0,0,Jul 25 2018  7:03PM,TRUE,6,tablet,TakeCashOutOfHome,9,5.786,Fixed,360,0,0,0,80001,30 Yr Fixed,1,360,5.625,1395,461,0,0,0,0,0,1,69540,1,2018-07-25T18:54:26Z[GMT],1,2018-07-25 19:03:58 GMT
0f498246-9a92-400c-8e76-6c85af5ecfc6,d586fef3-e4e4-4fbf-893a-787875c40ebb,9d131ef6-d9b1-4c79-b52e-43aacec241b3,NULL,perf,2,36426,1,AL,36426,AL,Brewton,0,5,no,1,OWNEROCCUPIED,300000,200000,200000,1/25/2018 17:54,0,0,Jan 25 2018  6:03PM,NULL,NULL,NULL,NULL,165,4.298,Fixed,360,0,0,0,200000,30 Yr Fixed,1,360,4.25,1146,984,0,0,0,0,0,0,0,NULL,2018-01-25T17:54:53Z[GMT],1,2018-01-25 18:09:50 GMT
0f498246-9a92-400c-8e76-6c85af5ecfc6,d586fef3-e4e4-4fbf-893a-787875c40ebb,9d131ef6-d9b1-4c79-b52e-43aacec241b3,NULL,perf,2,36426,1,AL,36426,AL,Brewton,0,5,no,1,OWNEROCCUPIED,300000,200000,200000,1/25/2018 17:54,0,0,Jan 25 2018  6:03PM,NULL,NULL,NULL,NULL,165,4.298,Fixed,360,0,0,0,200000,30 Yr Fixed,1,360,4.25,1146,984,0,0,0,0,0,0,0,NULL,2018-01-25T17:54:53Z[GMT],1,2018-01-25 18:11:33 GMT
0f498246-9a92-400c-8e76-6c85af5ecfc6,d586fef3-e4e4-4fbf-893a-787875c40ebb,a3abc1ae-27fe-4168-b8ef-385ac0de5227,NULL,perf,2,36426,1,AL,36426,AL,Brewton,0,5,no,1,OWNEROCCUPIED,300000,200000,200000,1/25/2018 17:54,0,0,Jan 25 2018  6:03PM,NULL,NULL,NULL,NULL,7,4.289,Fixed,360,0,0,0,200000,30 Yr Fixed,1,360,4.25,932,984,0,0,0,0,0,0,0,NULL,2018-01-25T17:54:53Z[GMT],1,2018-01-25 18:06:03 GMT
c02e6f6b-5cae-4af2-9095-ffe444a80c86,0e5fa1a5-2401-4b13-9991-bfd565866b71,b868e8a1-9f44-4b6b-819c-a92289fe79e6,NULL,sem,2,35242,1,AL,35242,AL,Birmingham,0,3,no,1,OWNEROCCUPIED,200000,105000,105000,1/24/2018 18:00,0,0,Jan 24 2018  6:03PM,NULL,NULL,NULL,NULL,165,4.17,Variable,60,0,0,0,105000,5 Yr ARM,6,360,4.125,918,509,0,0,0,0,0,1,0,NULL,2018-01-24T18:00Z[GMT],1,2018-01-24 18:03:47 GMT
ef65786e-79b6-4a90-820b-58bb59b1975d,8ba141a8-cc71-4a5b-9714-21df46a7c80f,ac64f67b-326d-4010-89c5-e22350702aa9,NULL,perf,2,36117,1,AL,36117,AL,Montgomery,0,5,no,1,OWNEROCCUPIED,135000,90000,100000,1/29/2018 18:52,1,10000,Jan 29 2018  7:24PM,NULL,NULL,NULL,NULL,165,4.625,Fixed,180,0,0,0,100000,15 Yr Fixed,3,180,4.625,0,772,0,0,0,0,0,1,0,NULL,2018-01-29T18:52:04Z[GMT],2,2018-01-29 18:55:50 GMT
ef65786e-79b6-4a90-820b-58bb59b1975d,8ba141a8-cc71-4a5b-9714-21df46a7c80f,5aa98048-c072-44c2-8fcb-05bfcbcd7823,NULL,perf,2,36117,1,AL,36117,AL,Montgomery,0,5,no,1,OWNEROCCUPIED,135000,90000,100000,1/29/2018 18:52,1,10000,Jan 29 2018  7:24PM,NULL,NULL,NULL,NULL,165,4.371,Fixed,180,0,0,0,100000,15 Yr Fixed,3,180,4.25,810,753,0,0,0,0,0,1,0,NULL,2018-01-29T18:52:04Z[GMT],2,2018-01-29 18:55:40 GMT
